_id,disc_number,duration_ms,explicit,external_ids,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri
641782c5c901a82deddf64a0,1,163854,True,{'isrc': 'USUG12300802'},7K3BhSpAxZBznislvUMVtn,False,True,Last Night,83,,2,track,spotify:track:7K3BhSpAxZBznislvUMVtn
641782c5c901a82deddf64a1,1,157477,False,{'isrc': 'USUG12203266'},5W4kiM2cUYBJXKRudNyxjW,False,True,You Proof,78,,16,track,spotify:track:5W4kiM2cUYBJXKRudNyxjW
641782c5c901a82deddf64a2,1,206864,False,{'isrc': 'USUG12209213'},1rXq0uoV4KTgRN64jXzIxo,False,True,One Thing At A Time,79,,6,track,spotify:track:1rXq0uoV4KTgRN64jXzIxo
641782c5c901a82deddf64a3,1,215571,True,{'isrc': 'USUG12202977'},3Qu3Zh4WTKhP9GEXo0aDnb,False,True,Thought You Should Know,77,,17,track,spotify:track:3Qu3Zh4WTKhP9GEXo0aDnb
641782c5c901a82deddf64a4,1,181766,False,{'isrc': 'USUG12300808'},7phmBo7bB9I9YifAXqnlqV,False,True,I Wrote The Book,78,,9,track,spotify:track:7phmBo7bB9I9YifAXqnlqV
641782c5c901a82deddf64a5,1,187047,False,{'isrc': 'USUG12300803'},03fs6oV5JAlbytRYf3371S,False,True,Everything I Love,79,,3,track,spotify:track:03fs6oV5JAlbytRYf3371S
641782c5c901a82deddf64a6,1,178520,False,{'isrc': 'USUG12004194'},3cBsEDNhFI9E82vPj3kvi3,False,True,Wasted On You,82,,2,track,spotify:track:3cBsEDNhFI9E82vPj3kvi3
641782c5c901a82deddf64a7,1,177387,False,{'isrc': 'USUG12300821'},0PAcdVzhPO4gq1Iym9ESnK,False,True,Thinkin’ Bout Me,82,,25,track,spotify:track:0PAcdVzhPO4gq1Iym9ESnK
641782c5c901a82deddf64a8,1,158003,True,{'isrc': 'USUG12300807'},2YVlDlk2zRceefo6XlC6DX,False,True,Ain’t That Some,81,,8,track,spotify:track:2YVlDlk2zRceefo6XlC6DX
641782c5c901a82deddf64a9,1,191231,False,{'isrc': 'USUG12300804'},73zawW1ttszLRgT9By826D,False,True,Man Made A Bar (feat. Eric Church),79,,4,track,spotify:track:73zawW1ttszLRgT9By826D
641782c5c901a82deddf64aa,1,239359,True,{'isrc': 'USUG12208598'},1bDbXMyjaUIooNwFE9wn0N,False,True,Rich Flex,90,,1,track,spotify:track:1bDbXMyjaUIooNwFE9wn0N
